in:weld_vy,in:weld_x0,in:weld_vx,in:sim_totalTime,in:EllipseW,in:Height,in:weld_z0,in:weld_b,in:Width1,in:weld_vz,in:EllipseH,in:sim_dt,in:weld_c,in:meshScale,in:weld_Q,in:Temp0,in:Width2,in:highResWidth,in:weld_a,in:weld_y0,in:highResMeshScale,in:Length,out:sliceNT_ave,out:clipT_ave,img:sliceNT,img:clipT,img:clipT_animation,img:lineT_beadAxis
5.0,0.0,0.0,0.4,2.0,1.0,0.0,0.5,3.0,0.0,1.0,0.1,1.0,1.0,5000.0,25.0,7.0,2.0,0.5,-6.0,0.2,12.0,39.484033976,38.6514617175,/download/home/marmar/Dropbox/parallelWorks/weldingProject/welding-github/outputs/png/0/out_sliceNT.png,/download/home/marmar/Dropbox/parallelWorks/weldingProject/welding-github/outputs/png/0/out_clipT.png,/download/home/marmar/Dropbox/parallelWorks/weldingProject/welding-github/outputs/png/0/out_clipT.gif,/download/home/marmar/Dropbox/parallelWorks/weldingProject/welding-github/outputs/png/0/plot_lineT_beadAxis.png
5.0,0.0,0.0,0.4,2.0,2.0,0.0,0.5,3.0,0.0,1.0,0.1,1.0,1.0,5000.0,25.0,7.0,2.0,0.5,-6.0,0.2,12.0,36.1718151285,33.9632785185,/download/home/marmar/Dropbox/parallelWorks/weldingProject/welding-github/outputs/png/1/out_sliceNT.png,/download/home/marmar/Dropbox/parallelWorks/weldingProject/welding-github/outputs/png/1/out_clipT.png,/download/home/marmar/Dropbox/parallelWorks/weldingProject/welding-github/outputs/png/1/out_clipT.gif,/download/home/marmar/Dropbox/parallelWorks/weldingProject/welding-github/outputs/png/1/plot_lineT_beadAxis.png
